row.names,#a,&a,0a,0b,0i,1L,1[,1a,1b,1c,1e,1f,1g,1m,1o,1t,1z,2[,2a,2h,2o,3a,3b,3d,4a,4b,4d,4g,4n,4p,4s,5d,5j,5q,5z,6d,6g,6j,6n,6p,7a,7d,7p,7r,8d,9a
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.16,0,0,0,0,0,0,0,1.24365e-041,0,0,0,0,0,0,0,0,0,0,3.12209e-040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.17,0,0,0,0,0,0,0,2.53075e-041,0,0,0,0,0,0,0,0,0,0,6.35841e-040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.18,0,0,0,0,0,0,0,5.13478e-041,0,0,0,0,0,0,0,0,0,0,1.67099e-039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.19,0,0,0,0,0,0,0,1.03881e-040,0,0,0,0,0,0,0,0,0,0,3.38724e-039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0,2.0955e-040,0,0,0,0,0,0,0,0,0,0,6.8463e-039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.21,0,0,0,0,0,0,0,4.2148e-040,0,0,0,0,0,0,0,0,0,0,1.37976e-038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.22,0,0,0,0,0,0,0,8.45283e-040,0,0,0,0,0,0,0,0,0,0,2.77263e-038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.23,0,0,0,0,0,0,0,1.70507e-039,0,0,0,0,0,0,0,0,0,0,5.55544e-038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.24,0,0,0,0,0,0,0,3.40029e-039,0,0,0,0,0,0,0,0,0,0,1.1099e-037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.25,0,0,0,0,0,0,0,6.76126e-039,0,0,0,0,0,0,0,0,0,0,2.21099e-037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.26,0,0,0,0,0,0,0,1.34053e-038,0,0,0,0,0,0,0,0,0,0,4.39166e-037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.27,0,0,0,0,0,0,0,2.65011e-038,0,0,0,0,0,0,0,0,0,0,8.69779e-037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.28,0,0,0,0,0,0,0,5.22384e-038,0,0,0,0,0,0,0,0,0,0,1.71762e-036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.29,0,0,0,0,0,0,0,1.02673e-037,0,0,0,0,0,0,0,0,0,0,3.3821e-036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0,2.01213e-037,0,0,0,0,0,0,0,0,0,0,6.64022e-036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.31,0,0,0,0,0,0,0,3.93185e-037,0,0,0,0,0,0,0,0,0,0,1.29992e-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.32,0,0,0,0,0,0,0,7.66083e-037,0,0,0,0,0,2.20191e-039,0,0,0,0,2.53741e-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.33,0,0,0,0,0,0,0,1.48831e-036,0,0,0,0,0,4.48256e-039,0,0,0,0,4.93859e-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.34,0,0,0,0,0,0,0,2.88303e-036,0,0,0,0,0,9.09889e-039,0,0,0,0,9.5842e-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.35,0,0,0,0,0,0,0,5.56856e-036,0,0,0,0,0,1.84157e-038,0,0,0,0,1.85458e-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.36,0,0,0,0,0,0,0,1.07245e-035,0,0,0,0,0,3.71641e-038,0,0,0,0,3.57828e-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.37,0,0,0,0,0,0,0,2.05943e-035,0,0,0,0,0,7.47818e-038,0,0,0,0,6.88402e-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.38,0,0,0,0,0,0,0,3.94333e-035,0,0,0,0,0,1.50042e-037,0,0,0,0,1.32055e-033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.39,0,0,0,0,0,0,0,7.52854e-035,0,0,0,0,0,3.00163e-037,0,0,0,0,2.5258e-033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4,0,0,0,0,0,0,0,1.43317e-034,0,0,0,0,0,6.019e-037,0,0,0,0,4.81706e-033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32493e-039,0,0,0,0,0,0,0,0,0
2.41,0,0,0,0,0,0,0,2.72034e-034,0,0,0,0,0,1.19727e-036,0,0,0,0,9.16018e-033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72793e-039,0,0,0,0,0,0,0,0,0
2.42,0,0,0,0,0,0,0,5.14858e-034,0,0,0,0,0,2.37465e-036,0,0,0,0,1.73686e-032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5867e-039,0,0,0,0,0,0,0,0,0
2.43,0,0,0,0,0,0,0,9.71605e-034,0,0,0,0,0,4.69884e-036,0,0,0,0,3.2837e-032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93822e-038,0,0,0,0,0,0,0,0,0
2.44,0,0,0,0,0,0,0,1.82823e-033,0,0,0,0,0,9.26577e-036,0,0,0,0,6.19015e-032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90727e-038,0,0,0,0,0,0,0,0,0
2.45,0,0,0,0,0,0,0,3.43014e-033,0,0,0,0,0,1.82212e-035,0,0,0,0,1.16353e-031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85382e-038,0,0,0,0,0,0,0,0,0
2.46,0,0,0,0,0,0,0,6.41698e-033,0,0,0,0,0,3.57228e-035,0,0,0,0,2.18069e-031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57407e-037,0,0,0,1.61291e-039,0,0,0,0,0
2.47,0,0,0,0,0,0,0,1.19699e-032,0,0,0,0,0,6.98318e-035,0,0,0,0,4.07518e-031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14562e-037,0,0,0,3.27944e-039,0,0,0,0,0
2.48,0,0,0,0,0,0,0,2.22631e-032,0,0,0,0,0,1.36113e-034,0,0,0,0,7.59346e-031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26792e-037,0,0,0,6.64854e-039,0,0,0,0,0
2.49,0,0,0,0,0,0,0,4.12878e-032,0,0,0,0,0,2.64534e-034,0,0,0,0,1.41082e-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24531e-036,0,0,0,1.34397e-038,0,0,0,0,0
2.5,0,0,0,0,0,0,0,7.63478e-032,0,0,0,0,0,5.1263e-034,0,0,0,0,2.61361e-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46877e-036,0,0,0,2.70888e-038,0,0,0,0,0
2.51,0,0,0,0,0,0,0,1.4077e-031,0,0,0,0,0,9.90523e-034,0,0,0,0,4.82781e-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87661e-036,0,0,0,5.4441e-038,0,0,0,0,0
2.52,0,0,0,0,0,0,0,2.588e-031,0,0,0,0,0,1.90837e-033,0,0,0,0,8.89197e-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.60487e-036,0,0,0,1.09094e-037,0,0,0,0,0
