row.names,#a,&a,0a,0b,0i,1L,1[,1a,1b,1c,1e,1f,1g,1m,1o,1t,1z,2[,2a,2h,2o,3a,3b,3d,4a,4b,4d,4g,4n,4p,4s,5d,5j,5q,5z,6d,6g,6j,6n,6p,7a,7d,7p,7r,8d,9a
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0,1.18045e-041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.11,0,0,0,0,0,0,0,3.34266e-041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.12,0,0,0,0,0,0,0,6.79097e-041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67264e-039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.13,0,0,0,0,0,0,0,1.3757e-040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40608e-039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.14,0,0,0,0,0,0,0,2.77868e-040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91571e-039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.15,0,0,0,0,0,0,0,5.59618e-040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40009e-038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.16,0,0,0,0,0,0,0,1.12379e-039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02469e-038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.17,0,0,0,0,0,0,0,2.25017e-039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09236e-038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.18,0,0,0,0,0,0,0,4.49245e-039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22358e-037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.19,0,0,0,0,0,0,0,8.94312e-039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45028e-037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0,1.77514e-038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8926e-037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.21,0,0,0,0,0,0,0,3.5133e-038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74102e-037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.22,0,0,0,0,0,0,0,6.93461e-038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93379e-036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.23,0,0,0,0,0,0,0,1.36453e-037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8302e-036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.24,0,0,0,0,0,0,0,2.67721e-037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55986e-036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.25,0,0,0,0,0,0,0,5.23744e-037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48781e-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.26,0,0,0,0,0,0,0,1.02163e-036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91958e-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.27,0,0,0,0,0,0,0,1.98705e-036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7126e-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.28,0,0,0,0,0,0,0,3.85353e-036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11452e-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.29,0,0,0,0,0,0,0,7.45158e-036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16812e-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0,1.43673e-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2055e-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.31,0,0,0,0,0,0,0,2.76212e-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13381e-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.32,0,0,0,0,0,0,0,5.29476e-035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56859e-033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.33,0,0,0,0,0,0,0,1.01202e-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01625e-033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.34,0,0,0,0,0,0,0,1.92871e-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78316e-033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.35,0,0,0,0,0,0,0,3.6651e-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10561e-032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.36,0,0,0,0,0,0,0,6.94452e-034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10757e-032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.37,0,0,0,0,0,0,0,1.31201e-033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00592e-032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.38,0,0,0,0,0,0,0,2.47159e-033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7102e-039,7.59224e-032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.39,0,0,0,0,0,0,0,4.64244e-033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54211e-039,1.43474e-031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4,0,0,0,0,0,0,0,8.69471e-033,0,0,1.57877e-039,0,0,0,0,0,0,0,0,0,0,0,1.52871e-038,2.70343e-031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.41,0,0,0,0,0,0,0,1.62369e-032,0,0,3.20926e-039,0,0,0,0,0,0,0,0,0,0,0,3.08955e-038,5.07924e-031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.42,0,0,0,0,0,0,0,3.02334e-032,0,0,6.5047e-039,0,0,0,0,0,0,0,0,0,0,0,6.22589e-038,9.51532e-031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.43,0,0,0,0,0,0,0,5.6132e-032,0,0,1.31458e-038,0,0,0,0,0,0,0,0,0,0,0,1.25096e-037,1.77742e-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.44,0,0,0,0,0,0,0,1.03914e-031,0,0,2.649e-038,0,0,0,0,0,0,0,0,0,0,0,2.50624e-037,3.31052e-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.45,0,0,0,0,0,0,0,1.9181e-031,0,0,5.32249e-038,0,0,0,0,0,0,0,0,0,0,0,5.00656e-037,6.14815e-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.46,0,0,0,0,0,0,0,3.53029e-031,0,0,1.06631e-037,0,0,0,0,0,0,0,0,0,0,0,9.97222e-037,1.1385e-029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.47,0,0,0,0,0,0,1.21708e-039,6.47868e-031,0,0,2.13005e-037,0,0,0,0,0,0,0,0,0,0,0,1.98053e-036,2.10216e-029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.48,0,0,0,0,0,0,2.47425e-039,1.1855e-030,0,0,4.2426e-037,0,0,0,0,0,0,0,0,0,0,0,3.92199e-036,3.87023e-029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.49,0,0,0,0,0,0,5.0154e-039,2.16299e-030,0,0,8.42579e-037,0,0,0,0,0,0,0,0,0,0,0,7.74407e-036,7.10478e-029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,1.01369e-038,3.935e-030,0,0,1.6685e-036,0,0,0,0,0,0,0,0,0,0,0,1.52464e-035,1.30049e-028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.51,0,0,0,0,0,0,2.04286e-038,7.13795e-030,0,0,3.29442e-036,0,0,0,0,0,0,0,0,0,0,0,2.99298e-035,2.37357e-028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24272e-039,0,0,0
2.52,0,0,0,0,0,0,4.10496e-038,1.29104e-029,0,0,6.48586e-036,0,0,0,0,0,0,0,0,0,0,0,5.85837e-035,4.31957e-028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53243e-039,0,0,0
