row.names,#a,&a,0a,0b,0i,1L,1[,1a,1b,1c,1e,1f,1g,1m,1o,1t,1z,2[,2a,2h,2o,3a,3b,3d,4a,4b,4d,4g,4n,4p,4s,5d,5j,5q,5z,6d,6g,6j,6n,6p,7a,7d,7p,7r,8d,9a
2,3.09559e-032,1.01689e-025,3.00583e-021,1.51292e-018,4.86961e-006,1.53689e-013,8.37432e-033,2.59097e-016,2.56316e-018,5.81221e-014,3.24298e-018,7.14633e-022,6.58993e-037,6.13336e-034,5.72861e-031,1.60328e-017,4.97523e-026,1.04369e-032,1.4008e-020,4.23631e-022,0,0,0,1.38887e-038,6.43594e-011,1.47085e-026,0,3.86966e-033,5.0036e-009,4.32814e-018,7.24964e-019,0,0,0,9.75307e-025,0,1.49401e-020,7.82009e-039,9.00612e-018,3.59524e-033,2.70762e-023,0,0,5.77186e-028,0,0
2.01,4.26329e-032,1.35188e-025,3.86983e-021,1.91797e-018,5.56095e-006,1.87835e-013,1.15293e-032,3.20411e-016,3.23636e-018,7.07632e-014,4.08934e-018,9.25857e-022,9.27e-037,8.51164e-034,7.83859e-031,2.01989e-017,6.62429e-026,1.43673e-032,1.79609e-020,5.49482e-022,0,0,0,1.97118e-038,7.66674e-011,1.96161e-026,0,5.34561e-033,5.86883e-009,5.46458e-018,9.24971e-019,0,0,0,1.28868e-024,0,1.92043e-020,1.1128e-038,1.13603e-017,4.97176e-033,3.53349e-023,0,0,7.75866e-028,0,0
2.02,5.86731e-032,1.79591e-025,4.97856e-021,2.4297e-018,6.34587e-006,2.29403e-013,1.58611e-032,3.95967e-016,4.08348e-018,8.60928e-014,5.15282e-018,1.19864e-021,1.30338e-036,1.18034e-033,1.07178e-030,2.5429e-017,8.81357e-026,1.97638e-032,2.30127e-020,7.12202e-022,0,0,0,2.79566e-038,9.12629e-011,2.61422e-026,0,7.37905e-033,6.87874e-009,6.89442e-018,1.1793e-018,0,0,0,1.70152e-024,0,2.46677e-020,1.58238e-038,1.43194e-017,6.8704e-033,4.60791e-023,0,0,1.04216e-027,0,0
2.03,8.06896e-032,2.38408e-025,6.40029e-021,3.07573e-018,7.23635e-006,2.79969e-013,2.18047e-032,4.89009e-016,5.14866e-018,1.04669e-013,6.48816e-018,1.55068e-021,1.8311e-036,1.63562e-033,1.46438e-030,3.19901e-017,1.17179e-025,2.71675e-032,2.9464e-020,9.22438e-022,0,0,0,3.9621e-038,1.08558e-010,3.48143e-026,0,1.01786e-032,8.05669e-009,8.69205e-018,1.50248e-018,0,0,0,2.245e-024,0,3.16626e-020,2.24848e-038,1.80363e-017,9.48723e-033,6.00466e-023,0,7.68043e-040,1.39884e-027,0,0
2.04,1.10886e-031,3.16259e-025,8.22206e-021,3.89069e-018,8.24585e-006,3.41436e-013,2.9954e-032,6.03505e-016,6.48709e-018,1.27164e-013,8.16361e-018,2.00466e-021,2.57056e-036,2.2649e-033,1.99938e-030,4.02148e-017,1.55681e-025,3.73171e-032,3.76964e-020,1.19387e-021,0,0,0,5.61104e-038,1.29037e-010,4.63295e-026,0,1.40304e-032,9.42959e-009,1.09504e-017,1.91284e-018,0,0,0,2.95995e-024,0,4.06118e-020,3.19261e-038,2.27015e-017,1.3091e-032,7.8191e-023,0,1.09633e-039,1.87625e-027,0,0
2.05,1.52271e-031,4.19229e-025,1.05547e-020,4.91803e-018,9.38941e-006,4.16099e-013,4.11193e-032,7.44307e-016,8.16766e-018,1.54384e-013,1.02642e-017,2.58967e-021,3.60556e-036,3.13402e-033,2.72785e-030,5.05172e-017,2.06684e-025,5.12211e-032,4.81941e-020,1.54404e-021,0,0,0,7.94046e-038,1.53267e-010,6.16089e-026,0,1.93257e-032,1.10286e-008,1.37856e-017,2.43352e-018,0,0,0,3.89978e-024,0,5.20528e-020,4.52988e-038,2.85529e-017,1.80507e-032,1.01744e-022,0,1.5638e-039,2.51477e-027,0,0
2.06,2.08954e-031,5.55325e-025,1.35393e-020,6.21211e-018,1.06839e-005,5.06725e-013,5.64045e-032,9.1734e-016,1.02763e-017,1.87299e-013,1.2896e-017,3.34297e-021,5.05366e-036,4.33342e-033,3.71897e-030,6.34129e-017,2.74197e-025,7.02556e-032,6.15705e-020,1.99547e-021,2.05225e-039,0,0,1.1229e-037,1.81916e-010,8.18681e-026,0,2.65998e-032,1.28895e-008,1.73421e-017,3.09369e-018,0,0,0,5.13433e-024,0,6.6669e-020,6.4227e-038,3.58864e-017,2.48717e-032,1.32296e-022,0,2.22893e-039,3.36809e-027,0,0
2.07,2.86531e-031,7.35071e-025,1.73552e-020,7.841e-018,1.2148e-005,6.16648e-013,7.73153e-032,1.12984e-015,1.29202e-017,2.2707e-013,1.61908e-017,4.31229e-021,7.07823e-036,5.98749e-033,5.06653e-030,7.95427e-017,3.63501e-025,9.62935e-032,7.86025e-020,2.57701e-021,2.92922e-039,0,0,1.58678e-037,2.15762e-010,1.0871e-025,0,3.65854e-032,1.50536e-008,2.18003e-017,3.93011e-018,0,0,0,6.75485e-024,0,8.53278e-020,9.09984e-038,4.50709e-017,3.42452e-032,1.71896e-022,0,3.17466e-039,4.50767e-027,0,0
2.08,3.92617e-031,9.72296e-025,2.22305e-020,9.88981e-018,1.38028e-005,7.49878e-013,1.05903e-031,1.39062e-015,1.62327e-017,2.75093e-013,2.03127e-017,5.55863e-021,9.9066e-036,8.26703e-033,6.89744e-030,9.97027e-017,4.81543e-025,1.31884e-031,1.00273e-019,3.3256e-021,4.17782e-039,0,0,2.24064e-037,2.55719e-010,1.44249e-025,0,5.02838e-032,1.75685e-008,2.73847e-017,4.98905e-018,0,0,0,8.88045e-024,0,1.0913e-019,1.28833e-037,5.65651e-017,4.71166e-032,2.23189e-022,0,4.51844e-039,6.02854e-027,0,0
2.09,5.37592e-031,1.28515e-024,2.84546e-020,1.24649e-017,1.56718e-005,9.1124e-013,1.44955e-031,1.71044e-015,2.03801e-017,3.33037e-013,2.54653e-017,7.16001e-021,1.38554e-035,1.14061e-032,9.38317e-030,1.24881e-016,6.37456e-025,1.80497e-031,1.27826e-019,4.28854e-021,5.95432e-039,0,1.20925e-039,3.16163e-037,3.02855e-010,1.91267e-025,0,6.90612e-032,2.04889e-008,3.43747e-017,6.32874e-018,0,0,0,1.16666e-023,0,1.39472e-019,1.82265e-037,7.09394e-017,6.47786e-032,2.89575e-022,0,6.42636e-039,8.05662e-027,0,0
